src	dst	numberOfPaths
1128355	3253675	1
1128355	3254911	1
1128355	763243	1
1128355	2935083	1
1128355	3883753	1
1128355	4252913	1
1128355	3238359	1
1128355	3617325	1
1128355	3243864	4
1128355	1863472	1
1146601	255999	1
1146601	263919	1
1146601	3296095	1
1146601	257517	2
1146601	293151	5
1146601	3610365	1
1146601	1476431	1
1146601	2030979	1
1146601	3577325	1
1146601	3946639	1
1146601	3272022	4
1146601	4038944	1
1146601	1820436	1
1146601	3572270	1
1146601	266436	4
1146601	2930818	2
1146601	3573818	3
1146601	4021584	2
1146601	4684716	1
1146601	3052724	4
1146601	3278632	1
1258887	1841649	2
1258887	4113687	1
1258887	4325687	1
1258887	3842933	1
1258887	3406007	1
1258887	4334569	1
1258887	3110942	1
1258887	3347234	1
1258887	3645524	1
1258887	3839280	3
1258887	4420686	1
1277519	1022227	3
1277519	1872893	3
1277519	3743549	1
1277519	1522429	1
1277519	3694289	2
1277519	3797507	1
1277519	3513483	1
1277519	1922117	1
1308777	2978715	3
1308777	3246359	2
1308777	4405741	1
1308777	3343708	1
1308777	3195576	3
1308777	4820876	1
1325806	3073649	1
1325806	3527283	1
1325806	3608327	2
1325806	3443530	2
1325806	3659010	1
1325806	2019104	1
1325806	2030512	1
1388819	257517	1
1388819	4817755	1
1388819	3034957	1
1388819	3610365	1
1388819	4322769	2
1388819	3701620	1
1388819	2930818	1
1388819	3573818	1
1388819	4021584	1
1388819	4684716	1
1388819	317750	1
1405881	3419661	1
1405881	3291445	1
1405881	3378067	1
1405881	3339170	1
1433657	3299431	1
1433657	3526597	1
1433657	3903103	1
1433657	3165535	3
1433657	3206631	1
1433657	3253675	1
1433657	3254911	1
1433657	3615839	1
1433657	763243	2
1433657	2935083	1
1433657	3379913	1
1433657	3883753	3
1433657	4252913	1
1433657	1128355	1
1433657	3238359	1
1433657	3617325	1
1433657	4352111	1
1433657	3243864	1
1433657	3793674	1
1433657	4199610	1
1433657	1863472	1
1433657	3376968	1
1433657	4314968	1
1433657	4348274	1
1433657	3254830	1
1433657	3616738	1
1476431	255999	2
1476431	263919	1
1476431	1146601	1
1476431	3296095	1
1476431	257517	1
1476431	293151	1
1476431	2030979	1
1476431	3577325	3
1476431	3946639	1
1476431	3272022	1
1476431	4038944	1
1476431	1820436	1
1476431	266436	1
1476431	2930818	1
1476431	3573818	1
1476431	4021584	1
1476431	4286178	1
1476431	3052724	1
1476431	3278632	1
1496034	3824469	1
1496034	1620311	3
1496034	3720955	1
1496034	3090621	1
1496034	4186736	1
1496034	4776052	2
1508282	2998491	2
1508282	3611876	2
1508282	3060410	2
1522429	1022227	2
1522429	1872893	1
1522429	3694289	2
1522429	3797507	2
1522429	1277519	1
1522429	3513483	3
1522429	1922117	3
1562288	3930263	1
1562288	3913117	1
1562288	3926259	1
1562288	4387468	1
1562288	4388734	1
1610724	3489411	1
1610724	3603641	1
1610724	546463	2
1610724	3659010	1
1610724	696084	5
1620311	3824469	1
1620311	3720955	1
1620311	3090621	1
1620311	4186736	1
1620311	1496034	3
1620311	4776052	2
1632474	3819315	1
1632474	3995297	1
1632474	4140573	1
1632474	3524729	1
1632474	3252819	1
1632474	3427623	1
1632474	3514271	1
1632474	3608327	1
1632474	3776717	1
1632474	4037037	1
1632474	1943527	1
1632474	3073987	1
1632474	3627081	1
1632474	4074937	1
1632474	4146784	1
1632474	4176380	1
1632474	3509318	1
1632474	3803472	1
1632474	3520778	1
1632474	3817244	1
1718305	3594334	1
1727538	3289497	1
1727538	4803401	1
1727538	586107	2
1727538	4173181	1
1727538	4867229	1
1727538	3803297	1
1727538	650686	1
1727538	3460738	1
1727538	3829084	1
1727538	3853726	1
1727538	2650810	1
1738602	3855391	1
1738602	3807811	1
1738602	3590129	1
1738602	4194820	1
1738602	3486278	3
1738602	4239278	1
1738602	2267486	1
1738602	3430382	1
1789215	3423935	1
1789215	2969843	1
1789215	3282887	1
1789215	3118824	2
1789215	3274990	1
1789215	3366084	1
1789215	3573058	1
1789215	3220100	2
1789215	3312502	1
1789215	3116912	2
1812072	3120523	1
1812072	3606777	1
1812072	3558557	1
1812072	670332	1
1812072	3527886	1
1812072	3123652	1
1812072	3236134	1
1812072	3504178	1
1812072	3907866	1
1820436	255999	1
1820436	263919	2
1820436	1146601	1
1820436	3296095	2
1820436	257517	1
1820436	293151	1
1820436	1476431	1
1820436	2030979	1
1820436	3577325	1
1820436	3946639	1
1820436	3272022	2
1820436	4038944	1
1820436	266436	2
1820436	2930818	2
1820436	3573818	1
1820436	4021584	1
1820436	3052724	2
1820436	3278632	1
1840804	3763107	1
1840804	4183182	2
1841649	3408059	1
1841649	4113687	1
1841649	4325687	1
1841649	3842933	2
1841649	1258887	2
1841649	3406007	2
1841649	4334569	1
1841649	3110942	2
1841649	3347234	1
1841649	3696766	1
1841649	3645524	1
1841649	3839280	2
1841649	4420686	1
1863472	1433657	1
1863472	3903103	1
1863472	3165535	1
1863472	3206631	1
1863472	3253675	1
1863472	3254911	1
1863472	763243	1
1863472	2935083	1
1863472	3883753	1
1863472	4252913	1
1863472	1128355	1
1863472	3238359	2
1863472	3617325	1
1863472	3243864	2
1865519	288945	3
1865519	4365433	2
1865519	752217	2
1865519	3496495	2
1865519	3613175	2
1865519	3224498	1
1865519	3509760	2
1865519	3523942	2
1865519	3754454	1
1865519	3922038	2
1865519	3340146	2
1865519	3661462	2
1865519	3104312	2
1865519	3121334	1
1865519	3599712	2
1872893	1022227	3
1872893	3743549	1
1872893	1522429	1
1872893	3694289	2
1872893	3797507	1
1872893	1277519	3
1872893	3513483	1
1872893	1922117	1
1898176	3222081	2
1898176	677607	2
1922117	1022227	2
1922117	1872893	1
1922117	1522429	3
1922117	3694289	2
1922117	3797507	2
1922117	1277519	1
1922117	3513483	3
1922117	3592897	1
1943527	3208373	1
1943527	3819315	1
1943527	3995297	1
1943527	4140573	1
1943527	3524729	1
1943527	3252819	1
1943527	3427623	1
1943527	3514271	1
1943527	3608327	1
1943527	3776717	1
1943527	4037037	2
1943527	3073987	1
1943527	3627081	1
1943527	286164	1
1943527	4146784	1
1943527	4176380	1
1943527	1632474	1
1943527	3509318	1
1943527	3803472	1
1943527	3520778	1
1943527	3817244	1
2000419	2979263	1
2000419	3868943	3
2000419	3560381	3
2000419	3409208	1
2019104	3409497	2
2019104	3527283	1
2019104	3608327	2
2019104	4046825	1
2019104	1325806	1
2019104	3443530	2
2019104	3659010	1
2019104	2030512	2
2030512	3527283	1
2030512	3608327	2
2030512	4046825	1
2030512	1325806	1
2030512	3443530	2
2030512	3659010	1
2030512	2019104	2
2030512	3813800	1
2030512	4121480	1
2030979	255999	1
2030979	263919	1
2030979	1146601	1
2030979	3296095	1
2030979	257517	1
2030979	293151	1
2030979	1476431	1
2030979	3577325	1
2030979	3946639	1
2030979	3272022	1
2030979	4038944	1
2030979	1820436	1
2030979	266436	1
2030979	2930818	1
2030979	3573818	1
2030979	4021584	1
2030979	3052724	1
2030979	3278632	1
2092169	2933309	1
2092169	286706	1
2101212	3457047	1
2101212	2998807	1
2101212	3251377	1
2101212	4775239	1
2101212	3859797	1
2101212	3931115	1
2101212	3097113	1
2102304	3107678	3
2109911	3437347	1
2109911	4827750	1
2129936	3650374	1
2129936	3250068	3
2171081	4221985	1
2171081	3498819	1
2171081	3559622	1
2173315	3114090	1
2223190	3655073	2
2223190	3646996	1
2223190	4469268	2
2223190	3989900	1
2223190	4031090	3
2223190	4040060	2
2224285	3563857	1
2224285	3784260	2
